InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
1,14,POPPY'S PLAYHOUSE BEDROOM,3,2023-08-12 20:09:24,8.55,59.0,France
1,13,POPPY'S PLAYHOUSE KITCHEN,1,2023-08-12 20:09:24,26.47,59.0,France
1,71,IVORY KNITTED MUG COSY,2,2023-08-12 20:09:24,10.34,59.0,France
1,116,HAND WARMER RED POLKA DOT,1,2023-08-12 20:09:24,14.24,59.0,France
2,4,WHITE HANGING HEART T-LIGHT HOLDER,3,2023-11-07 10:07:53,17.29,91.0,Switzerland
2,11,GLASS STAR FROSTED T-LIGHT HOLDER,1,2023-11-07 10:07:53,17.26,91.0,Switzerland
2,22,WHITE METAL LANTERN,1,2023-11-07 10:07:53,5.86,91.0,Switzerland
2,83,WHITE HANGING HEART T-LIGHT HOLDER,2,2023-11-07 10:07:53,30.9,91.0,Switzerland
2,199,HAND WARMER UNION JACK,4,2023-11-07 10:07:53,8.23,91.0,Switzerland
3,4,WHITE HANGING HEART T-LIGHT HOLDER,2,2023-06-29 07:49:45,17.29,99.0,Finland
3,11,GLASS STAR FROSTED T-LIGHT HOLDER,3,2023-06-29 07:49:45,17.26,99.0,Finland
3,22,WHITE METAL LANTERN,2,2023-06-29 07:49:45,5.86,99.0,Finland
3,127,WHITE METAL LANTERN,4,2023-06-29 07:49:45,39.56,99.0,Finland
4,14,POPPY'S PLAYHOUSE BEDROOM,2,2023-05-07 13:15:39,8.55,51.0,Germany
4,13,POPPY'S PLAYHOUSE KITCHEN,1,2023-05-07 13:15:39,26.47,51.0,Germany
5,73,GLASS STAR FROSTED T-LIGHT HOLDER,3,2023-09-18 22:09:13,10.98,111.0,Finland
6,82,KNITTED UNION FLAG HOT WATER BOTTLE,3,2023-06-12 17:17:01,21.67,60.0,Finland
6,158,POPPY'S PLAYHOUSE KITCHEN,4,2023-06-12 17:17:01,43.12,60.0,Finland
6,78,BOX OF VINTAGE JIGSAW BLOCKS,5,2023-06-12 17:17:01,14.23,60.0,Finland
6,15,BOX OF 6 ASSORTED COLOUR TEASPOONS,2,2023-06-12 17:17:01,7.3,60.0,Finland
6,118,GLASS STAR FROSTED T-LIGHT HOLDER,2,2023-06-12 17:17:01,45.39,60.0,Finland
7,26,HAND WARMER UNION JACK,1,2023-06-12 16:18:32,20.4,17.0,Portugal
7,2,HAND WARMER RED POLKA DOT,2,2023-06-12 16:18:32,41.72,17.0,Portugal
7,62,ASSORTED COLOUR BIRD ORNAMENT,4,2023-06-12 16:18:32,32.44,17.0,Portugal
7,7,RED WOOLLY HOTTIE WHITE HEART.,5,2023-06-12 16:18:32,42.06,17.0,Portugal
7,41,KNITTED UNION FLAG HOT WATER BOTTLE,4,2023-06-12 16:18:32,37.12,17.0,Portugal
8,4,WHITE HANGING HEART T-LIGHT HOLDER,2,2023-10-20 10:10:23,17.29,142.0,France
8,11,GLASS STAR FROSTED T-LIGHT HOLDER,2,2023-10-20 10:10:23,17.26,142.0,France
8,22,WHITE METAL LANTERN,2,2023-10-20 10:10:23,5.86,142.0,France
9,4,WHITE HANGING HEART T-LIGHT HOLDER,3,2023-12-15 11:33:47,17.29,66.0,Netherlands
9,11,GLASS STAR FROSTED T-LIGHT HOLDER,3,2023-12-15 11:33:47,17.26,66.0,Netherlands
9,22,WHITE METAL LANTERN,3,2023-12-15 11:33:47,5.86,66.0,Netherlands
10,25,WHITE HANGING HEART T-LIGHT HOLDER,3,2023-11-17 02:23:08,46.49,97.0,Portugal
10,177,WHITE HANGING HEART T-LIGHT HOLDER,1,2023-11-17 02:23:08,49.89,97.0,Portugal
10,107,POPPY'S PLAYHOUSE KITCHEN,1,2023-11-17 02:23:08,11.95,97.0,Portugal
10,70,RED WOOLLY HOTTIE WHITE HEART.,3,2023-11-17 02:23:08,25.86,97.0,Portugal
10,124,POPPY'S PLAYHOUSE KITCHEN,4,2023-11-17 02:23:08,7.37,97.0,Portugal
10,146,ASSORTED COLOUR BIRD ORNAMENT,5,2023-11-17 02:23:08,29.84,97.0,Portugal
10,55,IVORY KNITTED MUG COSY,2,2023-11-17 02:23:08,15.34,97.0,Portugal
11,54,BOX OF 6 ASSORTED COLOUR TEASPOONS,5,2023-04-20 13:55:53,44.34,134.0,France
11,69,HAND WARMER RED POLKA DOT,5,2023-04-20 13:55:53,47.62,134.0,France
11,188,IVORY KNITTED MUG COSY,4,2023-04-20 13:55:53,42.56,134.0,France
11,167,ASSORTED COLOUR BIRD ORNAMENT,2,2023-04-20 13:55:53,23.57,134.0,France
11,99,RED WOOLLY HOTTIE WHITE HEART.,2,2023-04-20 13:55:53,32.79,134.0,France
11,81,HAND WARMER UNION JACK,1,2023-04-20 13:55:53,9.4,134.0,France
12,8,BOX OF VINTAGE JIGSAW BLOCKS,4,2023-04-17 09:14:15,12.59,68.0,Belgium
12,132,WHITE HANGING HEART T-LIGHT HOLDER,1,2023-04-17 09:14:15,23.97,68.0,Belgium
12,136,IVORY KNITTED MUG COSY,5,2023-04-17 09:14:15,49.31,68.0,Belgium
13,67,WHITE METAL LANTERN,1,2023-03-09 02:49:15,15.24,41.0,Portugal
13,108,KNITTED UNION FLAG HOT WATER BOTTLE,5,2023-03-09 02:49:15,38.84,41.0,Portugal
13,175,HAND WARMER RED POLKA DOT,3,2023-03-09 02:49:15,6.42,41.0,Portugal
14,14,POPPY'S PLAYHOUSE BEDROOM,2,2023-08-23 06:42:02,8.55,15.0,Germany
14,13,POPPY'S PLAYHOUSE KITCHEN,3,2023-08-23 06:42:02,26.47,15.0,Germany
14,196,POPPY'S PLAYHOUSE BEDROOM,5,2023-08-23 06:42:02,41.75,15.0,Germany
14,150,WHITE HANGING HEART T-LIGHT HOLDER,2,2023-08-23 06:42:02,36.06,15.0,Germany
14,108,KNITTED UNION FLAG HOT WATER BOTTLE,4,2023-08-23 06:42:02,38.84,15.0,Germany
14,94,BOX OF VINTAGE ALPHABET BLOCKS,1,2023-08-23 06:42:02,48.57,15.0,Germany
15,19,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2023-12-18 16:57:06,35.72,144.0,France
15,116,HAND WARMER RED POLKA DOT,1,2023-12-18 16:57:06,14.24,144.0,France
15,90,GLASS STAR FROSTED T-LIGHT HOLDER,5,2023-12-18 16:57:06,23.42,144.0,France
15,143,GLASS STAR FROSTED T-LIGHT HOLDER,1,2023-12-18 16:57:06,44.75,144.0,France
16,26,HAND WARMER UNION JACK,3,2023-10-05 10:13:04,20.4,63.0,Norway
16,2,HAND WARMER RED POLKA DOT,1,2023-10-05 10:13:04,41.72,63.0,Norway
16,178,HAND WARMER UNION JACK,3,2023-10-05 10:13:04,6.62,63.0,Norway
16,96,BOX OF VINTAGE ALPHABET BLOCKS,4,2023-10-05 10:13:04,31.43,63.0,Norway
16,75,BOX OF VINTAGE JIGSAW BLOCKS,5,2023-10-05 10:13:04,19.13,63.0,Norway
16,146,ASSORTED COLOUR BIRD ORNAMENT,3,2023-10-05 10:13:04,29.84,63.0,Norway
16,78,BOX OF VINTAGE JIGSAW BLOCKS,2,2023-10-05 10:13:04,14.23,63.0,Norway
17,26,HAND WARMER UNION JACK,1,2023-07-07 00:27:16,20.4,102.0,Portugal
17,2,HAND WARMER RED POLKA DOT,3,2023-07-07 00:27:16,41.72,102.0,Portugal
17,50,BOX OF 6 ASSORTED COLOUR TEASPOONS,3,2023-07-07 00:27:16,22.67,102.0,Portugal
17,121,HAND WARMER RED POLKA DOT,5,2023-07-07 00:27:16,17.61,102.0,Portugal
17,91,POPPY'S PLAYHOUSE KITCHEN,2,2023-07-07 00:27:16,32.32,102.0,Portugal
17,149,SET 7 BABUSHKA NESTING BOXES,3,2023-07-07 00:27:16,20.73,102.0,Portugal
18,53,CREAM CUPID HEARTS COAT HANGER,1,2023-07-31 20:17:19,47.95,73.0,Spain
18,158,POPPY'S PLAYHOUSE KITCHEN,5,2023-07-31 20:17:19,43.12,73.0,Spain
18,74,BOX OF VINTAGE JIGSAW BLOCKS,5,2023-07-31 20:17:19,43.15,73.0,Spain
18,17,BOX OF 6 ASSORTED COLOUR TEASPOONS,2,2023-07-31 20:17:19,36.46,73.0,Spain
19,96,BOX OF VINTAGE ALPHABET BLOCKS,2,2023-07-15 13:56:39,31.43,148.0,Spain
19,119,WHITE HANGING HEART T-LIGHT HOLDER,1,2023-07-15 13:56:39,35.46,148.0,Spain
19,129,IVORY KNITTED MUG COSY,5,2023-07-15 13:56:39,19.87,148.0,Spain
20,39,SET 7 BABUSHKA NESTING BOXES,5,2023-04-18 21:26:13,9.77,129.0,EIRE
20,155,ASSORTED COLOUR BIRD ORNAMENT,1,2023-04-18 21:26:13,31.55,129.0,EIRE
21,14,POPPY'S PLAYHOUSE BEDROOM,2,2023-09-08 23:43:36,8.55,26.0,Germany
21,13,POPPY'S PLAYHOUSE KITCHEN,1,2023-09-08 23:43:36,26.47,26.0,Germany
22,26,HAND WARMER UNION JACK,1,2023-09-23 16:44:07,20.4,38.0,Portugal
22,2,HAND WARMER RED POLKA DOT,2,2023-09-23 16:44:07,41.72,38.0,Portugal
22,98,KNITTED UNION FLAG HOT WATER BOTTLE,2,2023-09-23 16:44:07,29.7,38.0,Portugal
22,194,BOX OF VINTAGE ALPHABET BLOCKS,4,2023-09-23 16:44:07,23.15,38.0,Portugal
22,156,SET 7 BABUSHKA NESTING BOXES,1,2023-09-23 16:44:07,7.76,38.0,Portugal
22,87,GLASS STAR FROSTED T-LIGHT HOLDER,3,2023-09-23 16:44:07,43.14,38.0,Portugal
22,39,SET 7 BABUSHKA NESTING BOXES,4,2023-09-23 16:44:07,9.77,38.0,Portugal
22,30,WHITE HANGING HEART T-LIGHT HOLDER,4,2023-09-23 16:44:07,27.04,38.0,Portugal
23,127,WHITE METAL LANTERN,1,2023-12-24 19:22:25,39.56,44.0,Netherlands
24,189,WHITE METAL LANTERN,1,2023-07-06 17:58:24,28.06,136.0,France
24,27,GLASS STAR FROSTED T-LIGHT HOLDER,4,2023-07-06 17:58:24,5.99,136.0,France
24,112,IVORY KNITTED MUG COSY,1,2023-07-06 17:58:24,15.58,136.0,France
24,99,RED WOOLLY HOTTIE WHITE HEART.,2,2023-07-06 17:58:24,32.79,136.0,France
24,120,BOX OF VINTAGE ALPHABET BLOCKS,1,2023-07-06 17:58:24,40.16,136.0,France
24,127,WHITE METAL LANTERN,5,2023-07-06 17:58:24,39.56,136.0,France
24,178,HAND WARMER UNION JACK,4,2023-07-06 17:58:24,6.62,136.0,France
24,152,FELTCRAFT PRINCESS CHARLOTTE DOLL,3,2023-07-06 17:58:24,48.79,136.0,France
25,26,HAND WARMER UNION JACK,1,2023-06-29 14:58:24,20.4,147.0,Germany
25,2,HAND WARMER RED POLKA DOT,3,2023-06-29 14:58:24,41.72,147.0,Germany
25,191,BOX OF VINTAGE ALPHABET BLOCKS,1,2023-06-29 14:58:24,46.01,147.0,Germany
25,117,WHITE METAL LANTERN,1,2023-06-29 14:58:24,37.8,147.0,Germany
25,81,HAND WARMER UNION JACK,1,2023-06-29 14:58:24,9.4,147.0,Germany
25,125,WHITE METAL LANTERN,3,2023-06-29 14:58:24,17.46,147.0,Germany
26,147,BOX OF 6 ASSORTED COLOUR TEASPOONS,5,2023-05-10 18:55:09,5.17,142.0,France
26,112,IVORY KNITTED MUG COSY,4,2023-05-10 18:55:09,15.58,142.0,France
27,84,HAND WARMER UNION JACK,4,2023-05-16 07:33:40,44.88,71.0,Finland
27,101,WHITE METAL LANTERN,1,2023-05-16 07:33:40,13.05,71.0,Finland
